股票代碼,股票名稱,年月,開盤價,最高價,最低價,收盤價,成交量,月報酬率,流通在外股數(千股),市值(百萬元),股價營收比-TEJ,現金股利率,股價漲跌(元),高低價差%,匯率(NTD/USD),M1A,M1B,M2,金融機構放款與投資,債券市場交易金額,股票市場交易金額,外匯市場交易日平均淨額(百萬美元),股價指數,外匯存底,CPI年增率
1101,台泥,2015/3/1,20.32,20.74,19.43,20.7,158,0.026775,3692175,162825,1.34,5.65,1.15,6.5192,31.526,56136,144922,385971,285382,63697,20161,34564,9611,414689,-0.62
1101,台泥,2015/4/1,20.65,21.31,20.16,20.46,178,-0.011341,3692175,160979,1.32,5.71,-0.5,5.5556,31.13,55958,145613,388279,286177,53259,19593,35973,9680,418174,-0.82
1101,台泥,2015/5/1,20.56,20.6,19.5,19.57,106,-0.043576,3692175,153964,1.26,5.97,-1.9,5.3899,30.717,55827,145326,388850,286423,50486,17589,35350,9689,418958,-0.73
1101,台泥,2015/6/1,19.57,19.76,17.67,18.28,167,-0.065948,3692175,143810,1.27,6.39,-2.75,10.6715,31.113,56690,145491,387497,284912,51842,17589,34683,9355,421411,-0.56
1101,台泥,2015/7/1,18.21,19.05,16.99,17.14,185,-0.063415,3692175,126272,1.12,7.28,-4.75,17.2015,31.343,56816,146476,389499,287499,55876,17517,35109,8964,421956,-0.63
1101,台泥,2015/8/1,17.09,17.59,15.06,17.47,176,0.019006,3692175,128672,1.14,7.14,0.65,14.7661,32.387,58187,148948,392125,289573,66014,17968,37426,8156,424791,-0.45
1101,台泥,2015/9/1,17.44,17.99,16.22,16.72,102,-0.04304,3692175,123134,1.09,7.47,-1.5,10.1865,32.889,57966,148841,392072,291268,61057,14928,32910,8206,426325,0.29
1101,台泥,2015/10/1,16.69,19.05,16.39,18.15,120,0.085456,3692175,133657,1.26,6.88,2.85,15.8921,32.727,57884,149126,393635,291818,58853,16873,29097,8551,426774,0.3
1101,台泥,2015/11/1,18.45,19,14.54,14.76,148,-0.186464,3692175,108735,1.02,8.46,-6.75,24.5856,32.802,58701,149442,394569,292368,54604,16732,26797,8503,424611,0.54
1101,台泥,2015/12/1,15.04,15.61,13.48,13.68,171,-0.073003,3692175,100796,1.02,9.12,-2.15,14.4312,33.006,60603,152926,398840,294063,61125,15503,27648,8298,426031,0.13
1101,台泥,2016/1/1,13.68,13.83,12.76,13.68,157,-0.000002,3692175,100796,1.02,9.12,0,7.8755,33.644,60727,153822,402398,295366,62737,15036,31876,7871,425978,0.8
1101,台泥,2016/2/1,13.63,15.19,13.16,15.04,85,0.0989,3692175,110765,1.12,8.3,2.7,14.8352,33.552,59977,154369,404169,297153,38227,9544,31450,8247,428816,2.41
1101,台泥,2016/3/1,14.99,16.09,14.71,15.79,182,0.049998,3692175,116304,1.18,4.22,1.5,9.1667,32.855,60474,153823,404123,297463,61738,18746,27901,8688,431601,2.01
1101,台泥,2016/4/1,15.46,17.54,14.69,16.49,151,0.044446,3692175,121473,1.23,4.04,1.4,18.0952,32.355,60644,154663,406068,296771,48089,13045,29929,8568,433184,1.88
1101,台泥,2016/5/1,16.54,16.54,13.81,15.06,149,-0.086626,3692175,110950,1.12,4.43,-2.85,16.5653,32.573,60242,153644,403939,297951,56224,14003,28428,8235,433432,1.23
1101,台泥,2016/6/1,15.04,16.42,14.86,16.06,121,0.066553,3692175,118334,1.32,4.15,2,10.3161,32.4,61144,154085,405531,298163,57075,13667,28794,8595,433552,0.9
1101,台泥,2016/7/1,16.29,18.04,16.14,17.67,195,0.098977,3692175,125165,1.39,3.92,1.85,11.8565,32.124,60488,155741,407836,299474,57328,15457,29753,8900,434087,1.24
1101,台泥,2016/8/1,17.72,19.8,17.35,18.89,153,0.069321,3692175,133841,1.49,3.67,2.35,13.8643,31.577,61768,158611,408768,302462,64822,15981,27027,9094,435862,0.57
1101,台泥,2016/9/1,18.81,19.65,17.67,18.58,131,-0.016551,3692175,131626,1.46,3.73,-0.6,10.4828,31.483,60946,157644,407685,302397,56197,12995,30185,9131,436726,0.33
1101,台泥,2016/10/1,18.66,19.78,18.24,19.73,110,0.061712,3692175,139749,1.59,3.51,2.2,8.2749,31.571,61799,158862,408709,303410,54252,12064,27653,9274,435263,1.7
1101,台泥,2016/11/1,19.41,19.91,18.53,19.2,138,-0.02642,3692175,136057,1.55,3.61,-1,7.0013,31.758,61853,158351,409443,304250,58227,14754,29452,9098,434348,1.97
1101,台泥,2016/12/1,19.44,19.96,17.72,18.32,118,-0.046134,3692175,129780,1.48,3.78,-1.7,11.6689,32.012,63420,161777,413018,305492,53262,12419,25882,9245,434204,1.69
